Roll No,Programming,DataStructures,Algorithms,OperatingSystems,DBMS,CommunicationNetworks
1,54,45,54,67,46,78
2,87,88,86,89,92,82
3,76,76,76,66.5,85.5,76
4,90,90,90,80,80,90
5,100,90,80,90,90,70
6,95,90.25,66.5,90.25,76,90.25
7,95,95,85.5,85.5,95,95
8,90,85,90,95,96,80
9,80,90,100,90,90,80
10,90,80,90,80,90,70
11,100,100,90,90,90,90
12,85,90,85,85,85,80
13,76,85.5,76,76,76,66.5
14,85.5,85.5,66.5,85.5,85.5,76
15,90,80,90,90,100,90
16,100,80,70,80,80,80
17,90,100,90,100,90,80
18,85.5,85.5,76,85.5,95,85.5
19,100,100,90,90,100,90
20,70,70,65,90,80,100
21,95,95,85.5,95,85.5,85.5
22,95,90,90,90,95,95
23,79,87,66,79,77,76
24,95,95,95,95,95,95
25,85,90,75,90,85,70
26,90,95,85,95,90,90
27,100,100,90,100,90,80
28,86,86,76,76,86,76
29,95,85.5,85.5,85.5,85.5,85.5
30,100,100,90,100,100,90
31,65,85,80,69,69,79
32,85.5,85.5,85.5,85.5,95,85.5
33,76,95,66.5,85.5,76,66.5
34,100,90,85,90,94,90
35,66.5,76,66.5,76,85.5,66.5
36,85,85,76,85,85,85
37,40,50,40,40,40,70
38,85.5,76,57,66.5,66.5,66.5
