I1,I2,I3,I4,O1,O2,O3,O4
false,false,false,false,false,false,false,false
false,false,false,true,false,false,false,false
false,false,true,false,false,false,false,true
false,false,true,true,false,false,false,true
false,true,false,false,false,false,true,false
false,true,false,true,false,false,true,false
false,true,true,false,false,false,true,true
false,true,true,true,false,false,true,true
true,false,false,false,false,true,false,false
true,false,false,true,false,true,false,false
true,false,true,false,false,true,false,true
true,false,true,true,false,true,false,true
true,true,false,false,false,true,true,false
true,true,false,true,false,true,true,false
true,true,true,false,false,true,true,true
true,true,true,true,false,true,true,true
